user,firend
user 1,friend 1
1,324
1,164
2,214
2,137
3,261
3,156
3,84
5,285
5,203
5,21
10,125
10,21
13,334
13,159
16,314
16,103
21,329
21,295
21,213
22,290
22,148
25,136
26,341
26,136
26,51
29,271
29,123
30,299
30,265
31,314
31,276
31,60
38,119
38,109
39,57
40,324
40,288
40,156
40,54
44,337
45,342
55,324
55,290
55,238
55,133
56,318
56,307
56,257
58,119
60,304
61,99
62,344
62,329
62,298
63,134
64,109
65,324
65,222
66,271
66,72
67,228
69,297
72,203
72,158
72,88
73,277
75,295
75,122
77,285
79,314
79,211
80,254
83,280
83,148
84,291
85,242
88,224
92,158
96,199
98,229
103,313
103,159
103,119
104,242
104,141
105,127
107,3034
107,2555
107,2547
107,663
107,574
107,561
107,524
107,520
109,280
113,323
113,156
116,337
118,248
118,148
119,238
119,222
119,172
121,334
121,324
122,231
126,207
127,300
127,142
127,130
128,188
136,2611
136,2544
136,2408
136,2274
136,2172
136,1980
136,1952
136,1927
136,172
136,141
141,252
142,284
142,213
142,178
156,316
165,184
170,288
170,258
171,1142
171,324
173,461
176,315
176,208
178,277
184,213
186,276
196,315
199,213
201,245
203,246
203,229
208,272
213,235
222,271
223,235
224,297
231,258
234,276
236,345
236,331
268,308
274,314
276,334
276,308
276,304
276,280
283,331
283,313
285,325
290,334
298,308
303,329
304,339
308,339
308,311
313,338
334,344
348,1104
350,560
350,541
350,514
352,446
352,363
353,1706
353,1545
353,1448
353,1408
353,1245
353,1086
353,527
353,463
353,372
354,482
355,1536
359,604
359,529
360,620
360,580
360,515
360,511
361,382
362,529
362,515
362,419
363,1654
363,1357
363,1246
363,1173
363,508
363,495
363,403
366,1709
366,1565
366,1204
366,614
366,591
366,507
367,561
367,544
367,470
367,429
368,1313
368,683
370,1881
370,1397
370,547
370,526
370,503
370,490
371,373
372,390
373,536
373,493
373,482
373,442
373,420
374,666
374,656
374,558
374,494
374,423
376,1609
376,1600
376,1464
376,1080
376,537
376,495
378,1808
378,1313
378,915
378,609
378,601
382,563
382,506
383,503
387,637
387,591
387,526
387,460
387,430
388,1740
388,1574
388,520
389,1767
389,1762
389,1482
389,1011
389,506
390,1300
390,434
391,1616
391,462
392,555
392,536
392,427
392,420
394,1179
394,645
394,555
394,474
395,444
396,543
397,539
397,527
398,506
400,545
400,510
400,480
400,474
400,422
402,1740
402,609
402,565
402,541
402,416
402,410
403,528
403,483
403,432
403,409
404,1882
404,1844
404,1616
404,1536
404,1113
404,637
404,508
404,413
405,1374
405,547
408,1512
408,469
408,425
409,547
409,531
410,517
413,545
413,525
414,1320
414,519
415,422
416,528
416,524
416,495
416,492
416,423
417,533
417,519
417,420
418,669
418,456
418,438
419,1408
419,1113
419,676
419,504
420,1828
420,1574
420,1408
420,1223
420,1129
420,1066
420,544
420,492
421,641
422,567
423,641
423,440
426,604
426,559
427,510
428,1688
428,1673
428,1625
428,1246
428,510
429,563
429,528
429,432
430,538
431,680
432,560
432,554
432,470
432,434
433,516
434,1616
434,930
434,503
435,506
436,1620
