user,firend
user 1,friend 1
1,313
1,158
5,346
5,82
7,324
9,302
9,87
13,334
14,111
17,112
19,263
21,338
21,260
21,176
22,119
22,55
22,26
23,25
25,342
25,324
25,242
25,223
25,204
25,171
26,272
26,165
26,121
29,134
29,67
30,320
31,271
31,238
31,55
34,500
36,329
39,288
39,246
40,251
40,208
45,223
45,79
48,231
48,207
48,101
50,272
50,120
53,345
53,80
55,344
55,332
55,285
55,257
56,288
56,258
57,309
59,334
59,331
59,308
60,134
62,281
62,271
62,158
62,134
63,238
64,325
65,285
65,122
66,172
75,238
75,232
79,122
80,186
82,247
85,304
85,186
85,128
87,329
87,250
88,207
88,173
98,184
98,169
98,158
98,156
100,280
100,105
103,248
104,338
104,121
105,122
106,203
106,150
107,3136
107,2510
107,2153
107,669
107,462
109,260
113,274
113,242
113,237
113,185
113,170
117,146
122,231
123,331
123,304
123,291
123,258
123,235
128,298
132,203
133,318
136,2522
136,2416
136,2297
136,2093
136,2075
141,331
141,313
141,213
146,346
148,295
148,285
148,222
158,236
159,315
161,290
163,331
164,211
165,281
165,272
168,185
169,258
169,188
169,175
170,325
172,285
176,203
178,211
185,291
185,239
188,234
189,285
194,315
194,300
196,213
200,347
200,303
203,284
211,231
212,285
214,337
214,243
216,337
224,329
224,325
231,336
232,314
232,283
232,257
248,285
257,331
257,290
261,304
265,308
272,332
272,309
285,290
307,317
323,325
348,1882
348,1113
350,558
352,460
352,440
353,1831
353,1710
353,1709
353,1706
353,1557
353,1478
353,1444
353,1382
353,1052
353,968
353,953
353,463
353,424
353,395
354,546
355,669
355,527
355,506
355,416
357,545
359,504
359,402
360,609
360,528
360,493
360,430
360,397
360,378
361,560
362,651
362,555
362,526
362,456
362,421
362,408
362,402
363,912
363,395
365,542
366,1897
366,1871
366,1680
366,1679
366,1506
366,968
366,445
366,415
367,1155
367,571
367,556
367,542
367,385
368,565
368,460
368,451
368,438
368,435
369,505
370,1767
370,587
371,456
372,397
373,1104
373,569
