user,firend
user 1,friend 1
1,330
1,249
1,178
2,243
3,165
9,165
10,290
10,82
13,331
13,85
16,197
16,63
19,262
19,102
21,265
21,141
25,108
25,85
26,342
26,222
26,171
26,96
26,82
26,45
27,178
29,117
29,66
30,252
30,156
31,285
34,669
38,315
40,125
40,106
41,70
45,334
45,169
48,109
48,82
50,169
53,236
55,274
55,113
56,248
58,119
59,158
59,122
62,272
62,221
63,304
64,329
64,239
65,188
66,123
69,134
72,79
73,346
73,291
75,246
75,100
77,315
77,142
79,261
79,229
79,186
80,308
80,127
82,223
83,291
84,200
84,94
85,285
85,141
87,334
87,203
88,266
96,332
96,322
96,280
98,341
98,185
102,225
103,340
103,315
103,186
104,236
104,170
104,133
104,119
105,276
106,126
107,2117
107,1920
107,567
107,455
108,185
109,315
109,113
113,314
113,196
116,151
117,142
119,315
120,208
123,324
124,342
125,277
128,159
130,224
131,175
133,134
134,274
134,261
136,2367
136,2298
136,2241
136,2220
136,1921
141,314
141,251
141,188
148,290
148,277
150,199
150,169
156,290
156,213
158,280
159,322
161,344
161,186
168,308
170,318
170,196
172,236
172,222
176,295
180,248
184,324
185,325
185,212
185,196
186,276
186,258
188,234
194,322
196,345
197,277
199,332
199,280
200,301
200,295
200,238
211,308
211,280
213,300
214,293
214,262
221,325
224,265
229,248
230,267
232,272
236,288
238,339
239,307
246,302
246,257
281,329
284,297
290,331
297,342
315,341
322,344
325,334
337,343
339,341
350,544
350,450
352,606
352,557
352,452
353,1885
353,1429
353,1049
353,1035
353,565
353,505
353,463
353,427
354,484
354,438
356,498
359,419
360,587
360,483
360,378
361,442
362,446
362,444
363,1871
363,1408
363,480
364,454
365,456
366,1575
366,1114
366,465
366,458
366,390
367,1606
367,1300
367,559
367,492
367,418
368,1512
368,1358
369,545
369,544
370,630
370,573
370,558
371,463
372,604
372,415
372,414
372,395
373,1766
373,1512
373,1018
373,490
373,488
373,482
373,469
374,487
374,425
374,398
375,1677
375,1080
375,428
376,1791
376,936
376,915
376,629
376,470
378,1464
378,1313
378,526
378,521
378,404
380,469
381,404
382,519
385,553
385,438
387,531
387,484
387,452
388,1512
388,506
388,502
389,1713
389,1504
389,1366
389,1260
389,1166
389,417
391,1808
391,1545
391,629
392,1179
392,512
394,1844
394,428
394,413
395,1878
395,1514
395,653
395,504
395,397
396,405
397,489
397,461
398,1320
398,524
398,423
400,1767
400,1673
400,504
400,494
400,402
402,1536
402,498
402,471
403,496
403,474
404,1574
404,606
404,567
404,438
405,527
405,412
405,410
408,1536
408,604
408,590
408,527
408,494
408,482
409,545
409,529
409,524
409,422
410,507
412,1616
412,1574
412,1446
412,469
413,569
