user,firend
user 1,friend 1
1,208
1,130
3,186
3,62
3,13
5,136
9,261
9,260
10,172
16,122
16,59
22,175
25,260
25,153
26,336
30,130
30,119
38,258
39,248
40,313
40,104
40,94
40,59
45,118
48,254
48,187
48,100
51,227
54,322
54,260
54,171
55,251
55,113
57,194
59,345
63,148
63,104
63,82
65,334
65,313
66,136
67,268
69,82
72,344
72,274
72,122
72,118
73,119
75,315
75,280
79,178
82,113
85,277
85,239
85,128
85,103
88,235
92,300
93,214
94,103
98,274
98,232
103,223
105,168
107,2385
107,2071
107,2007
107,567
107,558
107,513
107,446
107,444
108,315
108,252
108,121
111,140
113,280
118,303
118,185
119,303
121,170
121,148
123,345
123,127
126,170
127,291
128,341
128,318
128,291
128,200
132,187
133,318
134,324
134,313
134,297
136,2414
136,2325
136,2296
136,2233
136,2025
136,2013
136,1928
138,312
141,223
141,153
142,238
148,232
148,200
148,188
148,158
158,329
158,297
158,258
161,232
169,265
169,232
171,1883
171,1170
176,291
188,339
189,261
196,299
198,428
203,280
208,297
213,222
221,232
222,290
238,285
248,318
250,334
251,285
258,342
265,339
265,324
277,338
285,344
295,323
308,340
314,334
348,1791
348,1742
348,1645
348,930
348,590
350,559
350,553
350,493
350,488
350,420
350,405
350,370
352,504
352,497
352,388
353,1870
353,1342
353,1284
353,1210
353,1025
353,1019
353,565
353,527
354,504
354,457
354,387
354,378
355,444
355,413
357,534
359,433
360,500
361,527
363,1446
363,1284
363,1257
363,1086
363,1025
363,543
365,536
365,525
366,1625
366,1536
366,392
367,526
367,470
367,407
368,637
368,487
369,514
369,426
370,1400
370,1210
370,536
370,500
370,440
372,604
373,609
374,654
374,519
374,400
374,388
375,500
375,430
375,421
375,416
376,1871
376,1824
376,1025
376,422
376,415
378,1844
378,504
378,485
378,481
380,455
380,435
382,438
387,508
387,450
387,422
388,601
388,570
388,402
388,390
389,1807
389,1159
389,392
390,414
391,1720
391,1349
391,1300
391,545
391,520
392,614
392,604
392,414
394,1740
394,1155
394,548
394,523
394,506
394,496
394,484
395,1720
395,1300
395,636
395,474
395,455
395,432
395,418
397,561
397,555
397,438
397,413
398,1237
398,465
400,1790
400,1427
400,540
402,1692
402,683
402,547
402,537
402,490
402,488
402,484
403,561
403,490
404,641
404,523
405,455
406,453
408,1313
408,669
408,518
408,423
409,488
410,465
410,452
412,1616
412,1512
412,618
412,463
412,458
413,524
413,421
414,1778
414,1616
414,1300
415,519
415,515
415,440
415,418
416,549
416,543
416,542
416,511
416,472
416,428
417,1882
418,493
418,483
418,423
419,683
419,555
419,524
419,439
420,1878
420,1487
420,1080
420,496
420,461
420,422
421,604
421,463
421,456
421,451
422,543
423,1645
423,593
423,452
425,565
426,604
426,528
426,489
426,461
428,1645
428,1357
428,626
428,579
430,1606
430,1512
430,475
431,1692
431,1574
431,1549
431,1408
431,641
431,593
431,463
434,561
434,487
434,477
435,482
436,1179
438,1680
438,590
438,549
438,542
438,494
438,474
438,442
439,536
439,460
440,460
442,559
444,1358
444,683
444,676
446,568
451,669
451,496
451,477
451,452
452,527
456,536
458,547
458,541
460,491
460,487
461,1545
461,1300
461,671
462,515
463,566
469,634
471,523
471,495
473,570
473,511
475,1400
475,905
475,526
477,509
478,506
479,563
482,504
482,495
483,1636
483,1103
483,1060
483,907
484,1877
484,1688
484,1527
484,1473
484,1376
484,925
484,614
487,488
488,503
489,1358
491,580
492,1844
492,1324
492,1226
492,936
492,610
493,1801
493,1778
493,1320
493,591
494,1237
494,567
495,606
495,527
495,525
496,639
496,524
497,676
497,558
497,512
500,1574
500,1113
500,1095
500,526
502,604
502,545
503,601
504,557
504,545
504,523
505,517
506,683
506,569
507,555
507,546
507,511
507,509
509,531
512,606
512,563
514,1512
514,1435
514,556
514,516
515,1001
517,1743
517,1143
517,587
520,1882
520,566
521,561
524,673
524,617
